loop, time[s]
0,20.7582
1,31.2797
2,26.9076
3,26.407
4,25.328
5,24.6893
6,23.1199
7,23.8718
8,23.2849
9,23.0627
10,22.9706
11,22.9835
12,23.062
13,22.9771
14,22.8358
15,23.0298
16,24.8418
17,22.9385
18,23.3312
19,23.0281
20,24.0038
21,23.5646
22,22.8304
23,22.7938
24,24.6827
25,23.1089
26,23.1595
27,22.8495
28,22.9976
29,23.0864
30,22.7574
31,22.7881
32,23.0201
33,23.3261
34,24.5762
35,22.6159
36,23.5275
37,24.027
38,23.1133
39,22.9773
40,22.9964
41,22.9779
42,23.1527
43,22.8257
44,22.82
45,23.1305
46,22.9189
47,22.9082
48,22.8776
49,22.7562
