loop, time[s]
0,11.1348
1,13.8441
2,18.004
3,19.9232
4,12.3979
5,7.31098
6,16.8836
7,1.57408
8,15.9759
9,15.4113
10,13.7339
11,20.7806
12,19.3891
13,15.1904
14,13.923
15,13.1343
16,13.2499
17,13.6117
18,13.2424
19,13.0656
20,12.4601
21,12.6796
22,12.7389
23,12.2321
24,12.467
25,12.2745
26,12.3786
27,12.5383
28,12.3204
29,12.2381
30,12.0414
31,12.6343
32,12.773
33,12.6258
34,12.4632
35,12.2846
36,12.2012
37,12.3724
38,12.2563
39,12.3655
40,12.5949
41,12.7102
42,13.451
43,14.1977
44,13.5854
45,13.0692
46,13.181
47,12.901
48,12.393
49,12.5873
