loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.6234,0.203156,17.8948,2.42247e-05,80394,-11.9543,4.47931,32.1266,3.50206e-05,80382
2,-4.5055,0.500939,42.5193,2.37583e-05,88286,-12.3798,5.03183,30.6566,5.38876e-05,88286
3,-4.84616,0.520463,47.0451,3.36134e-05,87588,-18.9363,8.07524,44.529,4.57084e-05,87588
4,-4.73356,0.550641,42.5079,3.13292e-05,87494,-18.7911,8.29664,42.6805,3.68767e-05,87494
5,-4.19714,0.559093,33.2968,2.50314e-05,93066,-17.9866,8.01169,40.5055,2.51431e-05,93064
6,-2.06985,0.320353,16.4952,2.11759e-05,90592,-8.65152,3.48314,21.776,3.41446e-05,90584
7,-3.56719,0.414123,33.1419,2.86444e-05,93458,-11.9776,4.84049,29.8447,5.5266e-05,93456
8,-2.85542,0.317218,28.8552,3.21081e-05,93208,-19.5542,7.79838,49.1598,3.28134e-05,93208
9,-4.50252,0.50494,42.129,3.00474e-05,91728,-19.7595,8.28175,47.2651,3.83458e-05,91726
10,-4.20383,0.537211,34.7577,2.08903e-05,91270,-16.8808,7.20189,39.7062,2.60691e-05,91270
11,-3.86981,0.495819,32.2203,2.48105e-05,90138,-16.0308,6.78868,38.0023,3.13068e-05,90138
12,-3.35658,0.485654,25.2579,2.0587e-05,94670,-13.2812,5.56526,31.8746,2.66566e-05,94670
13,-3.24069,0.458625,25.0795,1.41475e-05,91326,-13.7,5.19698,36.3078,2.66396e-05,91326
14,-2.97641,0.375859,26.2306,2.48284e-05,90446,-11.9618,4.78559,30.1079,4.13725e-05,90434
15,-3.27656,0.419297,27.9894,2.54761e-05,94218,-11.5848,4.66575,28.9785,4.50401e-05,94216
16,-3.68803,0.443504,32.9231,2.13469e-05,93586,-16.2481,6.39739,41.4231,3.41083e-05,93586
17,-4.50418,0.53188,40.0233,2.31259e-05,92548,-17.5936,7.2231,42.9921,3.48563e-05,92546
18,-4.27657,0.514272,37.5076,2.28469e-05,90778,-17.3254,7.16064,42.0591,3.24169e-05,90778
19,-4.54922,0.548059,39.5859,2.89639e-05,90660,-18.5686,8.00071,43.2202,3.56049e-05,90656
20,-2.4894,0.409684,17.5674,1.97368e-05,94168,-10.8302,4.5818,25.8178,2.22971e-05,94168
21,-2.92164,0.360906,26.4223,2.15419e-05,90624,-14.7133,5.69558,38.1842,3.32216e-05,90622
22,-3.77751,0.45158,33.8137,2.64117e-05,91950,-12.2572,5.023,30.1094,4.91422e-05,91950
23,-3.49481,0.44608,29.6218,2.64499e-05,91548,-14.6778,6.0871,35.5567,3.53837e-05,91546
24,-3.07462,0.426248,24.524,2.41029e-05,94104,-13.9422,5.78667,33.7647,2.94336e-05,94106
25,-3.18457,0.477817,23.3175,1.49903e-05,92892,-13.6821,5.33411,35.2822,2.41214e-05,92890
26,-3.0373,0.344531,29.6785,2.51557e-05,89832,-15.1413,5.93315,38.8089,3.81839e-05,89828
27,-4.45548,0.50678,41.1447,2.85547e-05,91992,-13.7863,5.73716,33.3026,5.25223e-05,91990
28,-3.51657,0.453492,29.4741,2.54225e-05,93384,-15.6753,6.52595,37.805,3.12509e-05,93384
29,-3.18915,0.442531,25.2427,1.87827e-05,92302,-15.0419,6.07903,37.3841,2.41057e-05,92302
30,-3.07268,0.378871,27.5592,2.3571e-05,91394,-13.6638,5.40786,34.7086,3.69188e-05,91394
31,-4.9508,0.577827,44.1489,2.44366e-05,93840,-16.2764,6.74,39.4542,4.20562e-05,93838
32,-2.63108,0.380799,20.8051,1.89585e-05,92352,-18.1042,7.1635,45.894,1.81541e-05,92352
33,-3.27453,0.412682,28.4057,2.06135e-05,89614,-12.9839,5.14051,32.9892,3.61014e-05,89610
34,-4.19364,0.499204,37.2325,2.37675e-05,93356,-14.0612,5.7523,34.5455,4.24319e-05,93356
35,-4.26415,0.497492,38.5593,2.53015e-05,93748,-16.4172,6.72983,40.1978,3.88768e-05,93748
36,-5.14438,0.640171,42.902,2.04593e-05,90546,-18.6211,7.91901,43.9126,2.89659e-05,90544
37,-3.49427,0.488205,27.0582,2.1579e-05,92382,-14.1615,6.00862,33.5433,2.68648e-05,92382
38,-2.83535,0.411519,21.9654,2.13942e-05,92866,-14.5383,5.88755,36.0695,2.46208e-05,92866
39,-2.95285,0.359419,27.0417,2.15542e-05,90476,-14.4202,5.59863,37.3201,3.42471e-05,90470
40,-3.90105,0.4557,35.5896,2.8327e-05,92036,-12.7341,5.26899,30.9654,5.07869e-05,92036
