loop, time[s]
0,19.6153
1,25.5178
2,22.9999
3,22.8926
4,22.4759
5,25.4432
6,23.1702
7,25.0954
8,22.7377
9,23.3719
10,23.9066
11,23.2399
12,23.1951
13,21.891
14,23.7075
15,24.7125
16,24.2431
17,23.583
18,22.4382
19,25.0851
20,24.3761
21,24.3624
22,24.5478
23,24.5277
24,25.2948
25,23.922
26,22.8112
27,22.8021
28,23.0197
29,22.7293
30,22.2367
31,22.4807
32,22.8737
33,22.5791
34,22.4849
35,22.5645
36,21.7596
37,21.1054
38,21.8205
39,22.3481
40,22.8881
41,22.1148
42,23.0599
43,23.1399
44,21.4962
45,22.7686
46,22.5093
47,22.8148
48,22.7017
49,21.3949
