loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.83534,0.418902,10.4284,2.16711e-05,199998,-11.4141,5.02677,26.1163,1.8976e-05,199998
2,-0.975419,0.201365,9.69109,3.01812e-05,199932,-9.762,3.45549,27.8677,4.04095e-05,199932
3,-1.55633,0.257438,13.2931,3.2894e-05,196794,-13.1885,4.94906,35.3476,3.91431e-05,196794
4,-2.28117,0.372725,16.6442,2.09678e-05,199726,-12.3286,4.64386,32.9457,3.71197e-05,199726
5,-2.82001,0.396486,22.5795,2.29567e-05,199842,-16.126,6.05153,43.1375,3.57886e-05,199842
6,-2.50318,0.378533,19.1949,2.45433e-05,199818,-16.503,6.46004,42.314,2.74429e-05,199818
7,-2.812,0.470901,18.9155,1.87931e-05,199802,-15.786,6.30439,39.6861,2.15849e-05,199802
8,-3.53821,0.623398,21.6859,1.37638e-05,199778,-17.8116,6.91175,46.0449,1.85862e-05,199778
9,-4.05571,0.727724,23.9772,1.16706e-05,199778,-19.7252,7.49618,52.0378,1.74707e-05,199778
10,-4.1644,0.755894,24.2657,1.1145e-05,199780,-21.0321,7.95094,55.7607,1.64876e-05,199780
11,-4.11247,0.752074,23.8174,1.11179e-05,199786,-20.905,7.88473,55.553,1.65748e-05,199788
12,-4.04268,0.741765,23.3811,1.12139e-05,199790,-20.6776,7.78426,55.0554,1.68027e-05,199790
13,-3.99813,0.734017,23.1398,1.13032e-05,199798,-20.6255,7.75642,54.9754,1.69104e-05,199798
14,-3.97851,0.730134,23.0486,1.13525e-05,199802,-20.6267,7.75453,54.9949,1.69522e-05,199802
15,-3.97233,0.72866,23.0278,1.13723e-05,199804,-20.6442,7.76161,55.0379,1.69551e-05,199802
16,-3.97163,0.728299,23.0315,1.13781e-05,199802,-20.6604,7.76878,55.0732,1.69461e-05,199802
17,-3.97232,0.728298,23.039,1.13788e-05,199802,-20.6708,7.77348,55.0953,1.69376e-05,199802
18,-3.97287,0.728352,23.0434,1.13785e-05,199802,-20.6757,7.77573,55.1051,1.69322e-05,199802
19,-3.97327,0.728406,23.046,1.13779e-05,199802,-20.6779,7.77672,55.1099,1.69297e-05,199802
20,-3.97343,0.728429,23.047,1.13777e-05,199802,-20.6785,7.77701,55.1113,1.69289e-05,199804
21,-3.97349,0.728443,23.0473,1.13775e-05,199802,-20.6784,7.77698,55.111,1.69286e-05,199802
22,-3.97353,0.728448,23.0476,1.13774e-05,199802,-20.6783,7.77692,55.1107,1.69288e-05,199802
23,-3.97357,0.728455,23.0478,1.13773e-05,199802,-20.6785,7.77698,55.1113,1.69287e-05,199802
24,-3.97355,0.728454,23.0476,1.13773e-05,199802,-20.6783,7.77692,55.1107,1.69286e-05,199802
