loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.83535,0.418906,10.4284,2.16708e-05,199998,-11.4539,5.03737,26.2424,1.89669e-05,199998
2,-0.97543,0.201366,9.69115,3.01813e-05,199932,-9.78542,3.45948,27.9679,4.04858e-05,199932
3,-1.55633,0.257439,13.2931,3.28938e-05,196794,-13.2181,4.95429,35.4677,3.92027e-05,196794
4,-2.28118,0.372726,16.6444,2.09679e-05,199726,-12.3667,4.65334,33.0805,3.71272e-05,199726
5,-2.82001,0.396487,22.5794,2.29565e-05,199842,-16.1789,6.06488,43.3243,3.57912e-05,199842
6,-2.50316,0.378531,19.1948,2.45433e-05,199818,-16.5657,6.47774,42.5183,2.74217e-05,199818
7,-2.81198,0.4709,18.9153,1.87931e-05,199802,-15.8217,6.31139,39.8209,2.1603e-05,199802
8,-3.53823,0.6234,21.686,1.37637e-05,199778,-17.8484,6.91689,46.2009,1.8619e-05,199780
9,-4.05565,0.727718,23.9767,1.16706e-05,199778,-19.7808,7.50706,52.2549,1.74946e-05,199778
10,-4.16443,0.755901,24.2657,1.11449e-05,199780,-21.1056,7.96781,56.0312,1.6501e-05,199780
11,-4.11252,0.752082,23.8176,1.11178e-05,199786,-20.9786,7.9017,55.8236,1.65885e-05,199786
12,-4.04266,0.741761,23.381,1.12139e-05,199790,-20.7511,7.80132,55.3248,1.68162e-05,199790
13,-3.99815,0.73402,23.14,1.13032e-05,199798,-20.6994,7.7737,55.2458,1.69236e-05,199798
14,-3.97853,0.730137,23.0487,1.13524e-05,199802,-20.7007,7.77191,55.2655,1.69652e-05,199802
15,-3.97236,0.728664,23.0279,1.13723e-05,199802,-20.7186,7.77912,55.3095,1.69678e-05,199804
16,-3.97161,0.728295,23.0315,1.13781e-05,199802,-20.7348,7.78629,55.3449,1.69589e-05,199802
17,-3.97229,0.728294,23.0389,1.13789e-05,199802,-20.7452,7.79099,55.3669,1.69502e-05,199802
18,-3.9729,0.728354,23.0436,1.13785e-05,199802,-20.7504,7.79335,55.3776,1.69447e-05,199802
19,-3.97329,0.728411,23.0461,1.13778e-05,199802,-20.7523,7.79423,55.3817,1.69423e-05,199802
20,-3.97341,0.728426,23.047,1.13777e-05,199802,-20.7527,7.79442,55.3824,1.69417e-05,199802
21,-3.97352,0.728444,23.0475,1.13775e-05,199802,-20.7529,7.7945,55.3829,1.69414e-05,199802
22,-3.97356,0.728454,23.0477,1.13774e-05,199802,-20.7529,7.79452,55.3829,1.69412e-05,199802
23,-3.97357,0.728455,23.0477,1.13773e-05,199802,-20.7532,7.79462,55.3839,1.69411e-05,199802
24,-3.9735,0.728446,23.0473,1.13774e-05,199804,-20.7529,7.79451,55.383,1.69412e-05,199802
