loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.09354,0.427804,12.5826,2.38959e-05,99994,-13.3159,5.89787,30.2334,1.92076e-05,99994
2,-0.959607,0.202864,9.46862,3.09117e-05,99918,-9.49663,3.39697,26.8434,3.88727e-05,99918
3,-1.71473,0.281463,13.9994,3.05762e-05,97088,-14.8982,5.60165,39.8021,3.41439e-05,97088
4,-2.25357,0.360662,16.854,2.25778e-05,99560,-12.3583,4.6896,32.7807,3.66242e-05,99560
5,-3.38694,0.47107,26.4745,1.97426e-05,99748,-15.2738,5.74317,40.7942,3.77556e-05,99748
6,-2.91601,0.427683,22.22,2.23847e-05,99710,-18.6629,7.26948,48.0509,2.57866e-05,99710
7,-3.33475,0.531189,22.8177,1.7375e-05,99664,-19.4839,7.7624,49.0339,1.92364e-05,99664
8,-4.24191,0.704103,26.9759,1.27872e-05,99644,-20.8941,8.14441,53.7255,1.73245e-05,99644
9,-4.88492,0.823032,30.2083,1.08508e-05,99638,-22.5002,8.61914,58.8525,1.65517e-05,99638
10,-5.03398,0.855931,30.7746,1.03702e-05,99646,-23.3788,8.91226,61.4398,1.60156e-05,99648
11,-4.98501,0.852691,30.3162,1.03458e-05,99650,-22.9217,8.7192,60.3731,1.6328e-05,99650
12,-4.91047,0.842207,29.8177,1.04287e-05,99654,-22.5983,8.5823,59.6207,1.65941e-05,99654
13,-4.86121,0.834231,29.5259,1.05051e-05,99660,-22.5657,8.56216,59.5891,1.66659e-05,99660
14,-4.83842,0.830152,29.4047,1.05464e-05,99660,-22.6134,8.57756,59.7334,1.66619e-05,99660
15,-4.83119,0.828633,29.3742,1.05628e-05,99660,-22.6599,8.59517,59.8556,1.66419e-05,99660
16,-4.83005,0.828239,29.3748,1.05675e-05,99660,-22.6897,8.6072,59.9293,1.66244e-05,99660
17,-4.83052,0.828214,29.3812,1.05682e-05,99660,-22.7049,8.61357,59.9652,1.66137e-05,99660
18,-4.83124,0.828288,29.387,1.05677e-05,99660,-22.7113,8.61634,59.9795,1.66085e-05,99660
19,-4.83162,0.828335,29.3898,1.05673e-05,99660,-22.7133,8.61724,59.9836,1.66066e-05,99660
20,-4.83191,0.828381,29.3915,1.05668e-05,99660,-22.7137,8.61747,59.9845,1.66058e-05,99660
21,-4.83195,0.828387,29.3918,1.05667e-05,99660,-22.714,8.61758,59.985,1.66055e-05,99660
22,-4.83193,0.828383,29.3917,1.05668e-05,99660,-22.7133,8.61731,59.9833,1.66061e-05,99660
23,-4.83195,0.828387,29.3917,1.05667e-05,99660,-22.7135,8.61739,59.9839,1.66058e-05,99660
24,-4.83204,0.828402,29.3923,1.05666e-05,99660,-22.7137,8.61744,59.9843,1.66058e-05,99660
