loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.83893,0.419977,10.4331,2.16034e-05,20000,-11.4831,5.04446,26.3383,1.89656e-05,20000
2,-0.967647,0.201093,9.62909,3.01338e-05,19990,-9.75474,3.44235,27.9329,4.05442e-05,19990
3,-1.55212,0.257078,13.2609,3.28608e-05,19670,-13.159,4.92301,35.3767,3.95234e-05,19670
4,-2.28852,0.373725,16.6895,2.08856e-05,19970,-12.4295,4.67073,33.2906,3.7122e-05,19970
5,-2.81571,0.395465,22.5765,2.30345e-05,19986,-16.2688,6.09311,43.6024,3.57604e-05,19986
6,-2.50169,0.377992,19.2027,2.45977e-05,19982,-16.6341,6.49965,42.7244,2.74054e-05,19982
7,-2.80858,0.470221,18.902,1.88207e-05,19978,-15.8382,6.31296,39.894,2.16176e-05,19978
8,-3.53603,0.622975,21.6758,1.37752e-05,19978,-17.8751,6.91877,46.3259,1.86452e-05,19978
9,-4.05119,0.72685,23.9556,1.16862e-05,19978,-19.799,7.50302,52.3792,1.7552e-05,19978
10,-4.15823,0.754706,24.2357,1.11637e-05,19978,-21.1496,7.97312,56.2271,1.65377e-05,19978
11,-4.10581,0.750822,23.7841,1.11362e-05,19978,-21.039,7.91332,56.0625,1.66108e-05,19978
12,-4.03618,0.740547,23.3486,1.12313e-05,19978,-20.8168,7.81496,55.5776,1.68337e-05,19978
13,-3.99212,0.732914,23.1091,1.13179e-05,19978,-20.7701,7.78915,55.5128,1.69358e-05,19978
14,-3.97274,0.729071,23.0193,1.13659e-05,19978,-20.7763,7.78913,55.546,1.6973e-05,19978
15,-3.96717,0.727666,23.0029,1.13854e-05,19978,-20.7951,7.79675,55.5919,1.69762e-05,19978
16,-3.96633,0.727277,23.0061,1.13917e-05,19978,-20.8111,7.80395,55.626,1.69669e-05,19978
17,-3.96709,0.727288,23.0139,1.13924e-05,19978,-20.8226,7.8091,55.6505,1.6957e-05,19978
18,-3.96773,0.727353,23.0189,1.1392e-05,19978,-20.8264,7.81096,55.6577,1.69527e-05,19978
19,-3.96828,0.727439,23.0222,1.13909e-05,19978,-20.8299,7.81243,55.6658,1.69489e-05,19978
20,-3.96845,0.72747,23.0231,1.13905e-05,19978,-20.8301,7.81256,55.6658,1.6948e-05,19978
21,-3.96856,0.727488,23.0238,1.13903e-05,19978,-20.8298,7.81243,55.6653,1.69484e-05,19978
22,-3.96851,0.727469,23.0237,1.13907e-05,19978,-20.8298,7.81243,55.6651,1.69487e-05,19978
23,-3.96854,0.727481,23.0237,1.13905e-05,19978,-20.8303,7.81262,55.6664,1.69479e-05,19978
24,-3.96834,0.727449,23.0226,1.13909e-05,19978,-20.8291,7.81216,55.6632,1.69488e-05,19978
