loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.83731,0.419521,10.4303,2.16389e-05,100000,-11.4883,5.04782,26.3444,1.89285e-05,100000
2,-0.974418,0.201316,9.68372,3.01672e-05,99960,-9.80838,3.46258,28.0728,4.05523e-05,99960
3,-1.55706,0.25751,13.2983,3.28991e-05,98414,-13.238,4.95612,35.5609,3.92923e-05,98414
4,-2.27982,0.372627,16.6322,2.09775e-05,99874,-12.3946,4.65955,33.1848,3.71348e-05,99874
5,-2.81911,0.396434,22.5696,2.29593e-05,99932,-16.2233,6.07512,43.4881,3.57979e-05,99930
6,-2.50258,0.378496,19.1888,2.45449e-05,99916,-16.6191,6.49259,42.6938,2.73963e-05,99916
7,-2.81119,0.470824,18.9089,1.87919e-05,99900,-15.8399,6.31196,39.9086,2.16262e-05,99900
8,-3.53856,0.623454,21.6879,1.37641e-05,99896,-17.8602,6.91203,46.294,1.86755e-05,99896
9,-4.05525,0.727695,23.9731,1.16711e-05,99892,-19.8144,7.50895,52.4187,1.75369e-05,99892
10,-4.16356,0.755757,24.2607,1.11479e-05,99896,-21.1641,7.97866,56.2647,1.65258e-05,99896
11,-4.11144,0.751924,23.8108,1.11207e-05,99898,-21.045,7.91555,56.0782,1.66075e-05,99898
12,-4.04156,0.74162,23.3735,1.12158e-05,99898,-20.8207,7.81644,55.5884,1.68318e-05,99898
13,-3.99725,0.733954,23.1322,1.13023e-05,99898,-20.7743,7.79067,55.5243,1.69333e-05,99898
14,-3.97752,0.73004,23.0407,1.13527e-05,99904,-20.7766,7.78924,55.5466,1.69751e-05,99900
15,-3.97195,0.728633,23.0244,1.13715e-05,99900,-20.7936,7.79621,55.5879,1.6979e-05,99900
16,-3.97118,0.728252,23.0282,1.13777e-05,99900,-20.8102,7.80357,55.6236,1.69697e-05,99900
17,-3.97206,0.728281,23.0368,1.13789e-05,99902,-20.8166,7.8069,55.6342,1.69646e-05,99902
18,-3.97253,0.728328,23.0404,1.13786e-05,99902,-20.8209,7.80892,55.6426,1.69595e-05,99902
19,-3.97301,0.728396,23.0435,1.13785e-05,99904,-20.819,7.80843,55.6359,1.69606e-05,99904
20,-3.97273,0.72837,23.0413,1.13779e-05,99904,-20.8235,7.81006,55.6484,1.69553e-05,99902
21,-3.97296,0.728408,23.0426,1.13773e-05,99902,-20.8235,7.81003,55.6486,1.69554e-05,99902
22,-3.97303,0.728416,23.0431,1.13773e-05,99902,-20.8239,7.81014,55.6498,1.69555e-05,99902
23,-3.973,0.728408,23.043,1.13774e-05,99902,-20.8237,7.81011,55.6494,1.69556e-05,99902
24,-3.97304,0.728414,23.0433,1.13774e-05,99902,-20.8237,7.81009,55.6492,1.69556e-05,99902
