loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.09353,0.427794,12.5829,2.38961e-05,99994,-11.8941,5.92566,24.0426,1.94801e-05,99994
2,-0.959671,0.202873,9.46884,3.0913e-05,99918,-8.6195,3.3791,22.2828,3.98317e-05,99918
3,-1.71464,0.28145,13.9989,3.05772e-05,97088,-13.3922,5.55314,32.4773,3.50999e-05,97088
4,-2.25361,0.360666,16.8543,2.25774e-05,99560,-11.1259,4.66231,26.7649,3.75364e-05,99560
5,-3.38675,0.47104,26.4735,1.9744e-05,99748,-13.7519,5.70568,33.3203,3.87244e-05,99748
6,-2.91589,0.427664,22.2193,2.23856e-05,99710,-16.8625,7.27523,39.2214,2.62502e-05,99710
7,-3.33465,0.531173,22.8172,1.73755e-05,99664,-17.5455,7.75968,39.8014,1.96031e-05,99664
8,-4.24187,0.704096,26.9757,1.27873e-05,99644,-18.828,8.12235,43.7674,1.76996e-05,99644
9,-4.88511,0.823052,30.2098,1.08514e-05,99640,-20.2975,8.5871,48.094,1.69303e-05,99640
10,-5.03347,0.855875,30.7707,1.03699e-05,99644,-21.0927,8.87494,50.243,1.63875e-05,99644
11,-4.98519,0.852712,30.3175,1.03455e-05,99650,-20.6596,8.67164,49.3352,1.67305e-05,99650
12,-4.91053,0.842208,29.8184,1.04288e-05,99654,-20.3685,8.53405,48.7315,1.7006e-05,99654
13,-4.86122,0.834226,29.5261,1.05053e-05,99660,-20.3452,8.5157,48.7252,1.7076e-05,99660
14,-4.83837,0.830148,29.4042,1.05464e-05,99660,-20.3914,8.53208,48.8519,1.70693e-05,99662
15,-4.83122,0.828637,29.3743,1.05627e-05,99660,-20.4362,8.55088,48.9583,1.70467e-05,99660
16,-4.82995,0.828225,29.3742,1.05676e-05,99660,-20.4647,8.56361,49.0217,1.7027e-05,99660
17,-4.83063,0.82823,29.3819,1.0568e-05,99660,-20.478,8.56987,49.0496,1.70164e-05,99660
18,-4.83126,0.828291,29.3871,1.05676e-05,99660,-20.4825,8.57217,49.0581,1.70119e-05,99660
19,-4.83171,0.828348,29.3903,1.0567e-05,99662,-20.4866,8.57403,49.0671,1.70081e-05,99660
20,-4.83196,0.828387,29.3919,1.05667e-05,99660,-20.4857,8.57371,49.0642,1.70084e-05,99660
21,-4.83188,0.828375,29.3914,1.05669e-05,99660,-20.4869,8.57425,49.0672,1.70071e-05,99660
22,-4.83194,0.828382,29.3918,1.05668e-05,99660,-20.4851,8.57346,49.0628,1.70088e-05,99660
23,-4.83196,0.82839,29.3918,1.05667e-05,99660,-20.4861,8.57387,49.0652,1.70078e-05,99662
24,-4.83195,0.828387,29.3917,1.05667e-05,99660,-20.4855,8.5736,49.0641,1.70084e-05,99660
