loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.98548,0.297804,16.5952,6.85049e-05,76582,-16.2866,7.17844,37.0909,6.36943e-05,76474
2,-2.34725,0.334101,19.4839,2.90586e-05,99170,-15.4435,6.44891,37.1385,3.62033e-05,99170
3,-2.70321,0.408519,20.3353,2.92475e-05,64570,-16.0681,6.51178,39.8024,4.64111e-05,64500
4,-1.76491,0.194917,21.1111,4.05364e-05,73348,-13.2443,5.32786,33.1114,5.7204e-05,73338
5,-1.43244,0.247283,12.3417,2.49352e-05,46962,-11.1437,4.67751,26.7624,2.94364e-05,46962
6,-1.04358,0.146632,14.2469,3.53921e-05,76946,-9.54776,3.86712,23.8316,4.67943e-05,76942
7,-2.36817,0.179141,36.8884,3.43515e-05,57058,-15.818,6.19961,40.5203,6.9186e-05,57026
8,-1.61847,0.179181,20.1999,3.62794e-05,50892,-14.9662,6.23823,36.0659,3.83741e-05,50888
9,-1.67178,0.196732,19.2894,3.75827e-05,68870,-11.7546,5.15675,26.9878,4.0618e-05,68858
10,-2.414,0.233813,29.2003,6.27426e-05,57216,-12.8556,5.52352,30.1014,9.30767e-05,57214
11,-1.74186,0.232187,17.3743,3.29951e-05,44714,-10.8446,4.6148,25.7009,4.33865e-05,44646
12,-1.56124,0.201675,17.0445,4.12792e-05,55224,-8.62565,3.76346,20.0352,5.67383e-05,55222
13,-1.48408,0.132965,24.0854,3.4449e-05,70362,-13.7244,5.50144,34.4201,4.69187e-05,70358
14,-4.91105,0.467281,53.7545,3.31035e-05,74520,-23.7783,10.4649,54.1242,4.68117e-05,74492
15,-2.40081,0.327768,20.6362,4.85353e-05,64366,-12.4634,5.5992,27.9213,6.18458e-05,64340
16,-2.4058,0.241052,28.1595,3.68574e-05,69660,-17.6334,7.43439,41.9586,4.36542e-05,69620
17,-1.82078,0.214444,20.1229,3.08183e-05,65012,-12.9241,5.54673,30.2941,3.56041e-05,64910
18,-2.44301,0.363445,19.173,3.74797e-05,93568,-15.9059,7.01244,36.2209,3.88762e-05,93568
19,-0.820479,0.215032,7.78111,3.40907e-05,86750,-9.77548,4.09679,23.5696,3.79717e-05,86722
20,-1.98706,0.244554,20.2344,2.18548e-05,78626,-17.567,6.50264,47.6115,3.7719e-05,78624
21,-2.17462,0.239769,23.8937,4.46795e-05,45820,-17.5423,6.99261,44.1511,6.09143e-05,45804
22,-1.90076,0.220125,20.9558,2.99648e-05,49850,-13.6423,5.84152,32.0316,3.44926e-05,49842
23,-1.62565,0.15917,22.8858,3.38768e-05,64474,-12.2032,5.01629,29.8863,4.88958e-05,64472
24,-3.57047,0.340415,40.3867,6.44393e-05,70894,-14.8762,6.65687,33.3941,0.000102021,70892
