loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.39771,0.362384,18.6239,7.56476e-05,65756,-17.7463,7.93203,39.83,6.85983e-05,60594
2,-1.00045,0.220597,9.07036,3.13704e-05,82188,-8.9475,3.77038,21.4986,3.71664e-05,82188
3,-1.47842,0.243833,13.0652,3.66692e-05,16062,-10.8801,4.17757,28.5755,6.63275e-05,16036
4,-2.67528,0.323418,25.2216,5.80901e-05,11818,-13.7786,6.38957,29.8692,6.71836e-05,11786
5,-2.58441,0.243964,31.4766,6.18601e-05,77766,-16.2675,7.46442,35.5866,6.35333e-05,77760
6,-7.34715,0.71481,76.9163,2.15399e-05,49520,-21.9485,9.80132,49.252,4.89634e-05,49520
7,-0.903333,0.129432,14.0306,2.80671e-05,67828,-9.88417,4.14877,23.7894,2.91106e-05,67798
8,-1.78534,0.169354,24.726,3.56359e-05,58442,-12.36,4.89943,31.385,6.52832e-05,58414
9,-1.69411,0.245346,15.7737,4.0941e-05,56872,-11.3681,4.88734,26.6473,5.33845e-05,56842
10,-2.37014,0.312411,21.1823,6.16165e-05,22562,-11.8836,5.35212,26.5725,8.26222e-05,22532
11,-1.31828,0.21023,13.0231,5.92248e-05,11862,-8.17492,3.68779,18.3929,6.95108e-05,11858
12,-2.64645,0.329082,24.3213,5.655e-05,4878,-11.769,5.45189,25.5893,7.55855e-05,4878
13,-7.71856,0.574601,105.423,1.18538e-05,67314,-38.6954,17.268,86.7693,1.72278e-05,67314
14,-4.00111,0.387353,43.9105,6.85324e-05,25686,-21.6583,9.88881,47.5369,8.13535e-05,25604
15,-5.32669,0.538903,54.5064,3.07948e-05,31632,-21.9628,10.1704,47.5267,4.46573e-05,31632
16,-0.628098,0.160692,8.67812,5.78161e-05,16160,-5.77593,2.56612,13.3904,6.80487e-05,16118
17,-2.37026,0.25771,25.6806,3.56912e-05,43268,-15.3123,6.79179,34.6694,3.93103e-05,43268
18,-2.41512,0.326792,20.9088,5.91674e-05,11450,-11.0544,5.15516,23.8984,7.59178e-05,11444
19,-2.28808,0.245207,25.4287,8.30531e-05,642,-13.5444,6.22214,29.6443,8.98567e-05,632
20,-6.56612,0.687199,64.1939,4.65705e-05,42360,-23.3943,11.4933,47.7054,6.33895e-05,42360
21,-1.03112,0.151974,13.5761,3.08655e-05,72082,-10.2538,4.36662,24.3072,3.46977e-05,72070
22,-1.70512,0.207839,18.8004,6.15105e-05,27198,-10.9102,4.5755,26.2335,8.94525e-05,27194
23,-5.7062,0.604221,55.5437,4.06825e-05,28024,-22.2014,10.4047,47.4694,5.95519e-05,28006
24,-1.66535,0.198891,18.9722,7.52955e-05,44632,-9.56844,4.40677,21.0029,8.80568e-05,44584
