loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
2,-1.4421,0.341698,9.0128,1.9893e-05,56986,-7.75362,3.47153,17.6056,2.7656e-05,56986
3,-2.2303,0.544579,10.9704,1.00833e-05,56764,-14.2376,4.77429,42.6678,3.56261e-05,56764
4,-4.89202,0.846271,29.4609,9.7626e-06,56782,-13.9568,4.93123,39.7045,6.43738e-05,56782
5,-6.8641,1.23343,39.0099,7.9925e-06,57036,-19.1137,7.14664,51.2598,4.33101e-05,57036
6,-4.60117,0.969691,22.8638,1.11837e-05,57738,-30.0122,11.6397,77.4703,2.34879e-05,57738
7,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
8,-9.61664,0.685723,136.323,9.78236e-06,57078,-43.6393,18.1459,105.004,2.15485e-05,57080
9,-3.9402,0.488748,33.8112,1.98402e-05,56832,-50.0532,20.2194,123.956,1.65992e-05,56834
10,-7.47941,1.11531,51.0546,9.55342e-06,56686,-19.4354,7.7396,48.9347,4.04381e-05,56688
11,-6.71071,1.20366,38.2448,8.61257e-06,56710,-29.6771,11.9468,73.8051,2.08281e-05,56710
12,-4.35309,0.934284,21.3526,1.11108e-05,57434,-32.8154,12.8093,84.1461,1.84688e-05,57432
13,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
14,-3.51046,0.352838,37.7605,4.42754e-05,77914,-25.2975,10.9873,58.3367,4.63292e-05,77914
15,-3.34709,0.362495,33.664,7.91595e-05,61878,-23.6388,9.78509,57.2088,0.00010533,61878
16,-3.31382,0.467843,25.6099,7.80224e-05,63782,-32.1724,14.4369,71.7648,5.66646e-05,63782
17,-1.46401,0.297296,10.573,7.10271e-05,55068,-14.099,6.49507,30.759,5.54935e-05,55016
18,0.607386,0.420771,3.25336,3.05834e-05,16,-3.86483,1.49394,10.6677,2.86169e-05,16
19,-1.78874,0.230384,18.2286,6.84384e-05,6398,-23.1207,10.0441,53.3214,4.12602e-05,6398
20,-8.64345,0.672776,112.533,2.66434e-05,8312,-44.7639,19.7482,101.518,3.83393e-05,8312
21,-5.45451,0.65278,47.1087,4.90083e-05,30952,-25.7802,12.3977,53.6892,5.23265e-05,30948
22,-1.64281,0.30702,12.0474,4.95214e-05,34678,-7.17336,3.61222,14.5221,5.44576e-05,34676
23,-0.727609,0.236628,6.46337,4.36351e-05,59520,-8.64637,3.52269,21.5062,4.74182e-05,59468
24,-1.25781,0.25094,10.2897,3.68236e-05,43960,-11.4282,4.07092,32.3276,9.55358e-05,43960
