loop, time[s]
0,33.6071
1,21.7283
2,41.2768
3,29.933
4,21.4832
5,30.3198
6,36.1525
7,29.5002
8,35.468
9,29.8047
10,33.3738
11,42.7622
12,42.1365
13,27.5604
14,32.1752
15,27.2105
16,43.1002
17,33.2043
18,34.6671
19,38.3953
20,27.5889
21,37.4949
22,31.3378
23,31.8223
24,25.3043
25,32.9754
26,36.1878
27,24.461
28,30.9687
29,29.219
30,29.8504
31,41.9538
32,18.6117
33,45.0465
34,30.5433
35,35.9597
36,18.7179
37,36.423
38,35.3845
39,31.0987
40,29.0995
41,33.8113
42,32.617
43,31.4455
44,29.8787
45,27.4038
46,34.0729
47,29.6263
48,30.429
49,36.584
