loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-nan,-nan,-nan,-nan,2,-inf,inf,inf,0,2
2,-1.99654,0.356553,13.9844,1.8948e-05,127864,-18.1652,7.16814,46.1733,1.96527e-05,127864
3,-5.95463,0.788424,46.2411,1.2157e-05,3402,-29.0136,10.2571,82.1666,3.83076e-05,3400
4,-7.99424,0.783885,82.8029,2.78637e-05,103426,-20.9157,9.24845,47.4098,6.41443e-05,103426
5,-2.47611,0.311121,22.9207,2.55983e-05,65726,-24.6169,10.3438,58.6816,1.94539e-05,65720
6,-2.18694,0.367603,15.7308,2.19772e-05,52766,-16.4489,6.62335,41.0015,2.52357e-05,52766
7,-5.58895,0.587735,54.8485,1.21062e-05,85180,-26.5546,10.1211,69.7697,2.8294e-05,85180
8,-0.54068,0.202795,6.3726,1.49186e-05,17380,-9.62435,3.62983,25.794,1.62814e-05,17380
9,-4.2843,0.452591,42.7655,4.50739e-05,130706,-34.6899,15.1354,79.574,3.47824e-05,130706
10,-3.95681,0.376317,44.2615,2.37853e-05,27982,-25.8032,10.8777,61.3003,2.70421e-05,27978
11,-4.25623,0.62362,30.6525,1.70452e-05,78972,-18.9442,8.35522,43.0726,2.18164e-05,78972
12,-2.79269,0.426154,20.6477,2.32742e-05,67278,-15.5473,6.11033,39.7229,3.67944e-05,67274
13,-5.16959,0.457508,60.5993,1.89054e-05,53866,-22.7435,8.95819,57.8538,4.38629e-05,53866
14,-5.03056,0.623913,42.1639,4.32949e-05,72932,-22.1137,9.81499,49.9251,5.77367e-05,72932
15,-2.73803,0.309844,27.4229,8.87532e-06,68092,-18.3395,7.54785,44.693,1.12155e-05,68092
16,-6.0357,0.885213,42.2833,1.39947e-05,56946,-17.9466,7.37894,43.7843,3.40235e-05,56946
17,-0.641739,0.202129,6.98481,2.71966e-05,85710,-8.11438,3.27515,20.4092,2.37292e-05,85710
18,-2.0011,0.383101,13.0629,1.2212e-05,62502,-12.1588,4.16616,35.7252,4.22081e-05,62502
19,-1.93918,0.3054,15.5874,4.08411e-05,61752,-21.3637,8.2242,55.6174,3.98507e-05,61752
20,-4.56269,0.427133,51.0804,1.43156e-05,78188,-19.4946,7.78738,48.9305,3.24148e-05,78188
21,-5.95822,0.728254,50.1204,3.6043e-05,37390,-32.5661,14.1434,75.0562,4.08722e-05,37390
22,-1.75248,0.488924,8.32685,1.50284e-05,100842,-8.3779,3.63684,19.5745,2.00034e-05,100836
23,-1.20306,0.370987,6.59688,1.70312e-05,47488,-17.8988,6.03523,53.2484,2.17212e-05,47468
24,-5.57962,0.539575,59.5509,1.98852e-05,54008,-21.0659,8.32483,53.4273,5.13667e-05,54006
25,-1.14829,0.138178,16.7795,1.87905e-05,69342,-14.0011,5.37178,36.6786,2.55241e-05,69342
26,-9.018,0.927259,88.7825,2.82165e-05,11744,-25.4964,10.9863,59.2615,6.53784e-05,11742
27,-3.12031,0.486074,22.0878,2.5835e-05,133070,-17.5219,7.77477,39.6176,2.521e-05,133070
28,-2.62021,0.481519,16.3348,2.25668e-05,47096,-33.7744,12.7282,89.6994,2.21101e-05,47080
29,-4.1414,0.433344,41.8863,2.78621e-05,56564,-21.6079,9.18169,50.9603,3.76845e-05,56564
30,-2.12759,0.232926,23.727,2.3931e-05,48492,-9.24948,3.74112,23.1356,5.37736e-05,48492
31,-2.78578,0.296912,29.5056,2.31231e-05,40720,-10.2571,4.26025,24.9298,5.0811e-05,40720
32,-2.14002,0.296993,18.7872,5.28397e-05,116830,-14.3271,6.23815,33.0653,4.88803e-05,116830
33,-1.78344,0.235074,17.7845,6.32505e-05,52044,-16.2574,6.65188,39.8838,5.97508e-05,52044
34,-2.70218,0.437265,18.9857,5.17141e-06,51354,-13.0066,4.60753,36.9334,1.25609e-05,51354
35,-2.74487,0.412413,20.6936,1.65813e-05,62966,-20.4277,8.00957,52.2241,2.11859e-05,62966
36,-1.17898,0.192411,12.4213,1.9123e-05,36516,-11.0086,4.2487,28.7592,2.63753e-05,36508
37,-2.4178,0.366109,18.6987,4.72203e-05,113818,-9.05846,4.07888,20.3623,6.95206e-05,113818
38,0.108835,0.341556,2.96246,1.36593e-05,38412,-7.09786,3.1135,16.5022,1.62201e-05,38412
39,-7.48554,0.749902,76.0544,1.38861e-05,80824,-15.4847,6.10923,39.412,6.4495e-05,80824
40,-2.82384,0.358025,25.0655,2.22149e-05,46654,-16.4774,6.69783,40.6854,3.37656e-05,46654
41,-4.32754,0.52832,37.3403,3.69923e-05,63046,-24.3739,10.3953,57.2458,4.32994e-05,63048
42,-1.57646,0.287556,12.1202,2.92307e-05,118592,-14.0355,5.97901,33.1152,2.31106e-05,118588
43,-1.42563,0.389201,7.79142,1.53274e-05,22082,-32.3645,11.471,91.4009,1.3829e-05,22076
44,-3.54583,0.377666,35.9389,2.91056e-05,103036,-20.0718,8.25065,48.9508,4.16486e-05,103036
45,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
46,-4.4602,0.543441,38.4464,4.21086e-05,120976,-15.016,7.0066,32.3238,6.0621e-05,120974
47,-1.18966,0.350478,6.89144,2.51835e-05,81254,-5.80162,2.95961,11.7106,2.64684e-05,81252
48,-3.33122,0.753294,16.0588,4.24518e-06,10936,-11.6833,4.50444,30.5253,8.92439e-06,10936
