loop, time[s]
0,40.3413
1,21.3156
2,44.4106
3,23.1245
4,37.2216
5,42.018
6,24.5092
7,34.775
8,20.4121
9,47.0838
10,33.7685
11,30.6164
12,38.707
13,29.3474
14,32.5101
15,39.2062
16,31.196
17,40.3425
18,35.3962
19,32.5231
20,43.2495
21,26.0511
22,43.4326
23,32.558
24,35.0045
25,34.7537
26,25.9748
27,48.9598
28,33.378
29,31.8676
30,28.232
31,31.0653
32,41.4816
33,31.5237
34,29.5858
35,26.6611
36,30.366
37,47.5923
38,26.9741
39,40.0612
40,29.1748
41,41.8938
42,41.5861
43,23.429
44,49.5172
45,20.4903
46,41.5772
47,44.4736
48,28.7004
49,42.4056
