loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-4.06917,0.614879,28.5554,7.62612e-05,71270,-43.7437,18.5896,102.988,4.54461e-05,56522
2,-0.108726,0.454207,2.22766,2.4158e-05,64804,-12.4943,6.12308,25.6582,1.74758e-05,64776
3,0.575552,0.177129,7.51576,3.38161e-05,340,-10.1268,3.35138,30.8986,3.86188e-05,340
4,-5.20431,0.368563,76.2009,3.05035e-05,24744,-37.9012,16.1926,88.7752,3.76618e-05,24744
5,-2.85052,0.244942,37.2554,4.42849e-05,58860,-30.7057,13.4436,70.2073,3.33176e-05,58860
6,-2.45861,0.252164,27.9373,2.64064e-05,53236,-38.378,15.9457,92.4303,1.7154e-05,53236
7,-3.90825,0.361106,45.0683,3.58659e-05,69398,-25.2543,10.4326,61.2289,5.31339e-05,69398
8,-2.22349,0.343581,17.2999,5.1052e-05,73576,-21.4377,9.54486,48.2538,4.0679e-05,73576
9,-2.71407,0.393632,21.2538,2.57693e-05,67118,-15.9794,6.50956,39.3791,4.23697e-05,67072
10,-2.3111,0.433216,14.6375,5.04926e-05,41828,-24.9098,10.5621,58.8422,3.95176e-05,41824
11,-0.632864,0.192359,7.28075,3.93806e-05,37950,-8.81194,3.61804,21.7383,3.66952e-05,37950
12,-0.629272,0.14006,9.96706,2.52875e-05,42122,-11.9669,4.18516,34.4565,3.73185e-05,42122
13,-2.23934,0.345832,17.3918,2.80799e-05,47890,-16.3876,6.29988,42.7872,4.94309e-05,47882
14,-2.25787,0.313888,19.4273,1.46938e-05,59134,-26.1746,10.3334,66.3968,1.48799e-05,59126
15,-1.96745,0.549203,8.86897,1.59201e-05,90022,-18.8978,7.4537,48.0468,2.38688e-05,90022
16,-1.83091,0.414183,10.508,2.44288e-05,74588,-12.4684,4.53293,34.5165,5.90691e-05,74588
17,-1.60162,0.367406,9.7037,1.27751e-05,66764,-15.1811,5.27724,43.8612,3.30599e-05,66762
18,-1.21226,0.273063,9.04399,2.38119e-05,64588,-14.3144,5.13421,40.1038,4.35845e-05,64532
19,-0.795789,0.364517,4.48067,2.26864e-05,64032,-13.087,4.81323,35.7907,3.89571e-05,64032
20,-0.972736,0.115219,16.8915,5.63619e-05,65290,-13.5627,4.9832,37.1139,9.0391e-05,65290
21,-3.62398,0.293893,48.0898,4.75172e-05,53104,-22.8773,9.22237,56.8584,8.68185e-05,53104
22,-3.10657,0.349863,30.4427,3.93052e-05,57416,-31.3347,13.448,73.0862,3.2916e-05,57408
23,-2.31211,0.411351,15.4269,3.22989e-05,72620,-18.6337,8.16736,42.635,3.08323e-05,72620
24,-1.07352,0.174305,12.3487,4.70669e-05,82872,-19.1799,7.36311,50.097,3.68498e-05,82816
25,-6.02589,0.689886,54.0833,2.89908e-05,52962,-35.852,14.2411,90.3282,5.57499e-05,52960
26,-13.2627,1.75688,100.689,1.22487e-05,7596,-56.1893,25.0733,125.96,1.90368e-05,7596
27,-2.92228,0.30396,31.3848,5.61685e-05,65056,-21.9712,9.96549,48.541,4.84597e-05,65054
28,-2.85003,0.334143,27.3016,5.65999e-05,84802,-29.7133,12.8123,68.9871,4.22467e-05,84778
