loop, time[s]
0,22.8936
1,26.4393
2,219.857
3,29.2588
4,15.6389
5,21.6255
6,20.6447
7,23.3365
8,25.2494
9,26.2361
10,34.9143
11,58.1843
12,21.048
13,22.1127
14,35.9911
15,30.7256
16,35.8891
17,48.3626
18,44.4312
19,24.7461
20,24.5046
21,24.7746
22,26.6128
23,55.0846
24,35.452
25,26.2795
26,26.6013
27,30.3973
28,35.9266
29,29.1718
30,68.2251
31,24.0491
32,24.8698
33,31.1502
34,14.7941
35,28.4193
36,39.4674
37,17.6595
38,27.0868
39,68.2442
40,37.6866
41,60.5984
42,17.9601
43,32.9756
44,34.0528
45,50.6215
46,22.9991
47,23.7141
48,24.8305
49,34.6333
