loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.62921,0.412601,19.1777,0.000107035,42774,-48.3896,20.1414,116.305,3.86418e-05,31360
2,-0.556333,0.184,7.1169,9.09403e-05,62074,-8.78837,3.92323,19.9416,6.65652e-05,62074
3,0.678668,0.153838,9.49436,3.39274e-05,62086,-6.4747,1.87771,22.8586,7.467e-05,62086
4,1.64482,0.323862,11.4414,1.35052e-05,64928,-17.8528,4.82044,66.3267,4.25054e-05,64928
5,0.586505,0.226757,5.927,1.73973e-05,61258,-17.7346,5.10452,61.8114,6.57415e-05,61258
6,-1.20151,0.276581,8.83509,2.56236e-05,47576,-15.8293,5.27364,47.7028,8.61853e-05,47576
7,-1.86633,0.275961,16.2458,1.51719e-05,28454,-41.7097,15.3776,113.197,1.64965e-05,28452
8,-1.91812,0.207982,22.498,4.27958e-05,20998,-23.4222,9.26083,59.3467,4.5998e-05,20998
9,-2.81225,0.2614,34.0809,3.51646e-05,52612,-30.9393,12.4171,77.1706,3.62546e-05,52612
10,-1.01256,0.237287,8.53518,5.08476e-05,49660,-13.6525,5.46669,34.2788,5.50078e-05,49660
11,-0.599806,0.0952258,14.2794,3.50159e-05,44836,-16.5916,5.92715,46.613,4.05447e-05,44828
12,-1.17989,0.13298,17.9887,1.93171e-05,11654,-21.192,7.32122,61.4791,4.48846e-05,11652
13,-32.3684,2.59483,404.154,8.21201e-06,11182,-64.042,27.5709,148.794,3.29772e-05,11182
14,-5.56533,0.549348,58.2015,3.43263e-05,50578,-27.7288,12.6768,60.7319,4.23443e-05,50578
15,-1.79037,0.37834,11.1155,4.73549e-05,36642,-19.4882,8.64055,44.0703,3.6107e-05,36642
16,-1.13534,0.174286,13.1335,3.84648e-05,32614,-14.3044,5.55681,37.0024,4.2177e-05,32600
17,-3.37032,0.336732,36.7029,2.89676e-05,7076,-30.3692,11.757,78.531,4.00349e-05,7072
18,-7.35899,0.539313,102.268,2.0929e-05,20908,-40.8459,17.1491,97.3456,3.49337e-05,20908
19,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
20,-9.89666,0.861237,114.886,3.00903e-05,48758,-57.1785,26.7957,122.049,3.00479e-05,48758
21,-1.82609,0.284633,15.2288,4.35455e-05,71798,-9.72156,4.5323,21.0729,4.87843e-05,71798
22,-1.14906,0.257918,8.99642,4.32055e-05,35140,-12.659,4.57226,35.2672,7.26023e-05,35136
23,-2.00926,0.38763,12.9947,1.39655e-05,8916,-12.9559,4.98174,33.8948,2.7253e-05,8906
24,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
25,-11.3535,1.0632,122.18,3.27049e-05,8198,-57.1199,26.8276,121.654,3.54084e-05,8198
26,-7.88221,0.832181,75.86,2.1159e-05,70688,-30.962,14.9345,64.2573,2.66123e-05,70688
27,-2.11085,0.361544,15.09,7.92958e-05,59080,-18.9487,8.44494,42.6354,6.53866e-05,58806
28,0.534019,0.177003,7.26075,3.22934e-05,47210,-5.83994,2.0059,17.5009,4.45975e-05,47208
29,-1.7368,0.15073,26.6468,2.02511e-05,15740,-18.2758,6.10699,54.8559,7.52114e-05,15732
30,-2.20741,0.173094,33.9276,1.98526e-05,30474,-19.4037,7.38744,51.1005,3.80067e-05,30474
31,-3.84557,0.48618,32.4744,3.00442e-05,4656,-24.4311,9.94107,60.1424,4.66085e-05,4656
32,-5.45464,0.484184,63.5153,4.11611e-05,30814,-27.2619,12.074,61.6374,5.77955e-05,30814
33,-0.861526,0.157396,11.0691,3.22694e-05,56266,-8.80161,3.77356,20.7943,3.05309e-05,56266
34,-1.70066,0.2782,13.9909,3.64889e-05,44670,-11.5217,4.32277,30.9407,8.20976e-05,44664
35,-0.793098,0.269802,6.03777,8.39669e-06,7252,-14.0228,5.30139,37.2805,8.93262e-06,7250
36,-5.16045,0.528036,52.3264,4.10063e-05,18980,-20.2538,8.94961,45.9481,7.15734e-05,18980
37,-3.56281,0.356674,38.3926,3.60232e-05,45496,-23.6491,10.3281,54.2481,4.01059e-05,45496
38,-1.17671,0.22727,10.4925,5.10659e-05,48814,-11.1973,4.79251,26.3701,5.04604e-05,48814
39,-0.139648,0.17655,5.77456,2.37556e-05,7322,-11.0272,3.66404,33.4599,3.62121e-05,7322
