loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
2,-1.33159,0.324232,8.55292,3.03435e-05,63484,-7.14404,3.29772,15.7798,4.00087e-05,63484
3,-1.32358,0.586357,4.69314,1.25366e-05,62954,-13.8585,4.65392,41.4827,3.21598e-05,62954
4,-1.77415,0.673806,6.15551,1.14618e-05,62782,-16.068,5.21292,49.7191,4.67835e-05,62782
5,-1.3382,0.619529,4.50467,1.24379e-05,62542,-19.4263,6.42089,58.9294,3.69898e-05,62542
6,-0.463086,0.401101,3.02778,1.77701e-05,62040,-25.5503,8.63802,75.6908,2.17678e-05,62040
7,-0.305514,0.245944,4.44548,2.3938e-05,640,-17.5626,5.69549,54.3315,3.57598e-05,624
8,-3.78943,0.301839,50.8873,3.1035e-05,68404,-22.0231,8.98843,54.0712,5.6185e-05,68404
9,-4.80788,0.594484,40.5658,2.57789e-05,74680,-37.7569,15.0612,94.7189,3.5657e-05,74680
10,-1.60085,0.306938,11.6073,5.22542e-05,68734,-13.4563,5.47917,33.23,7.25517e-05,68734
11,-0.823598,0.242085,6.93274,6.52337e-05,76658,-12.8792,5.06959,32.9165,6.55887e-05,76658
12,-0.679963,0.176386,8.29062,6.55037e-05,59180,-14.659,5.08235,42.4774,8.81899e-05,59180
13,-0.12603,0.263236,3.85921,4.79549e-05,2594,-13.9304,5.23866,37.2337,3.01279e-05,2534
14,-1.04623,0.16327,12.8291,4.95193e-05,57372,-15.8166,6.27117,40.0508,4.65917e-05,57372
15,-1.2345,0.166808,15.131,3.73095e-05,54614,-17.9228,6.46658,49.8294,5.28451e-05,54612
16,-1.01457,0.277672,7.30843,3.55665e-05,57578,-14.8267,5.62258,39.2757,4.63495e-05,57578
17,-0.00720622,0.097629,10.2434,3.34775e-05,53658,-15.0924,4.91752,46.5238,4.26175e-05,53628
18,-1.20639,0.166797,14.7207,4.2868e-05,53568,-12.4499,4.41328,35.348,9.77193e-05,53568
19,-0.868456,0.242612,7.23054,3.67823e-05,31634,-12.3947,4.68172,33.028,5.4569e-05,31466
20,-1.80012,0.19463,21.7872,3.82823e-05,23380,-19.8085,7.4138,53.0603,5.78156e-05,23380
21,-3.16267,0.236799,46.4634,2.87139e-05,44246,-23.9973,9.81411,58.7799,4.0897e-05,44246
22,-3.14883,0.375998,29.0298,2.41571e-05,52976,-29.2098,11.6935,73.0504,2.88203e-05,52976
