loop, time[s]
0,18.3891
1,142.797
2,25.0549
3,22.5127
4,19.796
5,18.4042
6,21.318
7,99.0726
8,25.3446
9,32.3148
10,24.1398
11,30.8805
12,30.5956
13,49.489
14,34.0132
15,23.023
16,25.2923
17,40.6589
18,26.0495
19,42.2628
20,22.4064
21,20.6083
22,21.2572
23,48.3497
24,30.2276
25,26.9928
26,30.9679
27,29.1346
28,32.622
29,22.1053
30,14.5216
31,29.5717
32,22.5079
33,24.5279
34,16.1497
35,30.7201
36,22.5545
37,18.0974
38,19.4119
39,31.0397
40,26.8215
41,23.3437
42,24.7792
43,29.8746
44,27.1036
45,22.1283
46,40.9251
47,18.5751
48,24.3652
49,39.2291
