loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-12.2881,2.23941,67.8742,1.63052e-05,82,-46.6665,17.6698,123.304,5.7498e-05,82
2,-3.27291,0.608036,19.2619,2.95325e-05,107758,-14.949,6.95557,32.2724,3.78275e-05,107758
3,-1.83583,0.512993,8.51917,2.80838e-05,105512,-18.9241,8.02048,44.7758,2.58064e-05,105512
4,-0.23389,0.212579,4.96147,4.7514e-05,121950,-10.7893,4.04742,29.0085,3.80567e-05,121950
5,-0.725875,0.237386,6.43213,3.19063e-05,99782,-8.659,2.77173,27.4118,0.000110388,99768
6,-3.1359,0.466202,23.2386,3.52888e-05,57068,-22.5006,8.63703,58.733,7.05849e-05,57000
7,0.258807,0.243955,4.37368,2.119e-05,13928,-11.2116,3.90622,32.4354,3.33425e-05,13890
8,-2.38972,0.18601,36.0773,2.9028e-05,57648,-19.7676,7.77009,50.4188,4.9378e-05,57648
9,-3.7021,0.306629,47.9588,3.05456e-05,55914,-33.4519,13.4537,83.2506,3.88776e-05,55876
10,-1.49653,0.30139,10.7489,4.10367e-05,52936,-14.1549,6.27869,32.0707,3.32831e-05,52934
11,-0.481292,0.159124,7.74016,4.20383e-05,51098,-9.92457,3.70971,26.8207,4.37004e-05,51098
12,-1.54959,0.232895,14.6042,2.55031e-05,87236,-14.6043,5.22812,40.9873,5.08175e-05,87236
13,-1.57585,0.324323,10.7402,4.31972e-05,63002,-13.392,5.53713,32.5705,5.67883e-05,62942
14,-1.11951,0.19487,11.5631,3.0641e-05,15916,-16.0895,5.93684,43.7726,4.12508e-05,15910
15,-3.31316,0.22814,52.4986,2.2004e-05,39572,-21.9653,8.62004,56.0872,4.7328e-05,39554
16,-1.80456,0.135889,31.3231,3.18629e-05,66768,-25.096,10.0643,62.6782,3.14526e-05,66768
17,-2.30024,0.261679,24.0413,2.50232e-05,52624,-21.4549,8.67573,53.1727,2.99498e-05,52616
18,-3.34089,0.388867,31.2744,3.22066e-05,55208,-17.9876,7.57924,42.8216,4.94871e-05,55208
19,-1.28258,0.145134,18.2246,3.78841e-05,72020,-18.1895,7.12436,46.5807,3.67831e-05,72018
20,-1.28305,0.308595,8.57506,3.1031e-05,68888,-13.1634,5.2758,33.033,3.57897e-05,68712
21,-3.26953,0.391072,29.8917,2.5384e-05,8850,-27.9468,10.4263,75.0047,4.06164e-05,8846
22,-2.66767,0.271556,29.8888,3.17578e-05,64778,-20.0082,8.38031,47.8896,3.82316e-05,64772
23,-1.28123,0.210113,12.5721,5.71447e-05,50808,-15.4632,6.43135,37.3345,5.0583e-05,50776
24,-3.14868,0.438273,24.9028,1.2605e-05,31856,-28.6979,10.8875,75.7357,2.15321e-05,31850
25,-3.17596,0.328908,33.7077,3.75345e-05,90762,-19.1544,8.0196,45.8742,5.41087e-05,90760
26,-2.5337,0.252698,29.3616,4.83967e-05,62238,-29.1908,11.6514,73.2188,4.69995e-05,62188
27,-2.12625,0.312734,17.6537,5.6465e-05,40886,-18.3952,8.08969,41.9524,5.20789e-05,40884
28,-0.00692998,0.153808,6.50192,3.6801e-05,36416,-6.06963,2.47209,15.3071,4.63726e-05,36386
29,-3.05651,0.314836,32.8497,3.42456e-05,7466,-21.8223,8.94059,53.376,4.72411e-05,7450
30,-5.81205,0.487103,71.4016,3.33878e-05,62292,-38.6531,17.0965,87.4485,3.58004e-05,62292
31,-3.3128,0.317402,37.727,5.59454e-05,73562,-21.2068,9.26832,48.631,6.5882e-05,73552
32,-1.24014,0.192919,13.1555,5.19141e-05,8746,-12.602,5.42946,29.4341,5.04788e-05,8746
33,-4.33533,0.389783,50.7849,2.15459e-05,87514,-21.8282,9.62172,49.6242,3.08133e-05,87514
34,-2.68803,0.36956,22.2575,3.85375e-05,109434,-27.0342,11.1164,65.835,3.61187e-05,109434
35,-1.69776,0.255692,15.1838,5.12835e-05,82820,-20.6474,8.25153,51.786,4.77988e-05,82556
36,-0.121327,0.128993,7.86645,6.60414e-05,15432,-8.38314,3.24592,21.959,6.22158e-05,15418
37,-3.29615,0.350396,33.8605,2.3271e-05,60166,-26.1819,10.9304,62.8062,2.5961e-05,60166
38,-1.18043,0.228608,10.4695,4.47108e-05,98656,-13.8502,5.58,34.5567,4.36147e-05,98652
39,-1.27703,0.186224,14.1271,4.472e-05,31062,-18.7514,6.74885,52.2481,5.66953e-05,31030
40,-0.541163,0.120041,10.7701,3.22106e-05,78674,-10.691,4.12915,27.9229,3.57203e-05,78674
41,-1.25477,0.233466,11.0271,2.64021e-05,55518,-13.8927,5.07232,38.2482,4.91693e-05,55468
42,-3.77023,0.408469,37.248,1.75625e-05,14448,-34.5787,13.0682,91.5723,2.94661e-05,14394
43,-6.18919,0.532411,73.8266,2.80416e-05,36384,-54.5654,23.3367,127.627,2.5803e-05,36352
44,-2.34849,0.300124,21.7091,3.82132e-05,69054,-18.4703,8.23572,41.545,3.4694e-05,69026
45,-0.773537,0.179277,8.91561,2.88049e-05,36966,-8.96347,3.43954,23.6496,4.39102e-05,36942
46,-1.71758,0.164815,23.9667,3.2998e-05,61640,-14.0199,5.47992,36.051,5.42932e-05,61624
47,-1.89,0.19262,23.7363,2.4631e-05,80458,-16.9163,6.54238,43.8926,4.00797e-05,80456
48,-0.800341,0.164519,9.97175,5.59172e-05,43704,-19.0271,7.63688,47.5367,3.24678e-05,43696
49,-1.97898,0.218327,22.5183,3.1132e-05,25820,-10.7514,3.98637,29.2478,8.9447e-05,25820
