loop, time[s]
0,327.282
1,2348.47
2,1579.33
3,565.386
4,576.514
5,824.969
6,707.3
7,811.74
8,1103.8
9,730.848
10,679.22
11,788.454
12,735.949
13,722.799
14,702.854
15,780.293
16,676.343
17,663.781
18,594.55
19,717.858
20,768.308
21,685.007
22,721.826
23,710.442
24,586.843
25,738.345
26,768.909
27,602.503
28,483.65
29,764.012
30,1008.35
31,654.517
32,599.993
33,988.324
34,589.441
35,641.908
36,872.924
37,656.714
38,762.91
39,691.742
40,776.013
41,802.428
42,641.12
43,813.621
44,700.213
45,804.2
46,698.354
47,633.888
48,983.202
49,603.081
