loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.62916,0.41259,19.1776,0.000107036,42772,-48.3891,20.1413,116.304,3.86405e-05,31358
2,-0.556333,0.184001,7.11686,9.09397e-05,62074,-8.78844,3.92327,19.9417,6.65638e-05,62074
3,0.678511,0.153811,9.4946,3.39297e-05,62080,-6.47491,1.87777,22.8593,7.46848e-05,62080
4,1.64394,0.323259,11.4538,1.34866e-05,64800,-17.854,4.82087,66.3295,4.25174e-05,64800
5,0.596177,0.228849,5.92279,1.73015e-05,61194,-17.8631,5.14502,62.2138,6.47512e-05,61194
6,-1.1235,0.269147,8.40528,2.6049e-05,47884,-15.9525,5.30611,48.1487,8.44033e-05,47884
7,-1.42812,0.257049,11.8247,1.68181e-05,29458,-42.7913,15.661,116.984,1.53288e-05,29458
8,-1.94683,0.215563,22.2216,3.31276e-05,32248,-30.5058,11.6535,79.9421,3.62675e-05,32246
9,-1.16524,0.129892,18.152,6.52918e-05,40934,-19.0238,7.37215,49.2264,6.24159e-05,40922
10,-1.60501,0.215849,16.5674,3.92019e-05,50900,-12.6072,4.80095,33.3148,7.41401e-05,50900
11,-1.23452,0.214082,11.79,4.52411e-05,35198,-15.2949,5.94862,39.4936,5.33486e-05,35184
12,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
13,-2.93502,0.200779,47.8851,3.6434e-05,14512,-15.557,6.73023,36.1088,6.15643e-05,14512
14,-6.33712,0.516445,79.6968,2.73714e-05,69878,-21.0032,9.19827,48.0672,6.3411e-05,69878
15,-1.2751,0.191435,13.7169,7.31734e-05,59844,-15.3358,6.25846,37.7388,6.82936e-05,59844
16,-1.17717,0.275595,8.65668,4.15553e-05,42096,-12.1121,4.71634,31.3175,5.62905e-05,42060
17,-0.695482,0.113394,13.0844,3.40491e-05,17968,-11.2961,3.98705,32.2548,5.00471e-05,17966
18,-4.42594,0.399863,51.49,6.88187e-07,12,-65.9296,23.2746,186.801,9.65034e-07,10
19,-12.0865,1.19505,123.077,3.05725e-05,608,-57.4409,27.1765,121.445,3.38229e-05,608
20,-10.412,1.08538,100.803,3.9336e-05,69580,-45.7363,22.6268,92.4925,4.16527e-05,69580
21,-0.104385,0.22922,4.41016,6.23559e-05,47458,-3.86227,1.89046,8.41971,5.61609e-05,47182
22,0.008231,0.0738563,13.5407,5.6059e-05,18828,-10.3102,3.27934,32.7201,0.000126803,18826
23,-4.09478,0.303767,58.4898,2.9213e-05,34624,-26.5335,10.3855,67.8861,6.14585e-05,34596
24,-3.53887,0.436279,30.9976,2.03884e-05,9944,-18.842,7.96885,44.6764,3.68057e-05,9944
25,-10.1705,0.888141,117.592,1.74432e-05,23496,-60.3282,27.4293,132.723,1.87008e-05,23496
26,-2.21982,0.294309,20.1407,3.23095e-05,59746,-11.2103,5.03165,25.1746,4.41241e-05,59746
27,-2.29266,0.395821,15.8059,4.49658e-05,44428,-15.9299,6.48913,39.2595,6.91338e-05,44428
28,-0.749794,0.126473,12.352,4.70964e-05,46554,-15.4898,5.88152,40.9645,4.26865e-05,46544
29,-0.179635,0.204905,5.03778,3.9222e-05,6620,-11.7671,4.18964,33.2879,3.96236e-05,6620
30,-9.73819,0.675192,141.933,2.18791e-05,4516,-59.0684,24.4473,142.759,3.69178e-05,4516
31,-11.507,0.999295,133.506,1.53498e-05,50468,-61.7956,28.2565,135.179,1.79837e-05,50468
32,-3.39607,0.428353,29.2593,2.52547e-05,61334,-20.6455,8.86972,48.1678,3.16698e-05,61334
33,-2.16217,0.252414,22.4828,4.18215e-05,41102,-21.9327,8.33469,57.8358,5.45416e-05,41102
34,-1.28648,0.330893,8.02383,2.83304e-05,42556,-15.2786,6.38026,36.7439,2.62928e-05,42556
35,-1.11359,0.17153,13.0595,2.35215e-05,55246,-16.9283,5.90161,48.7266,3.3328e-05,55244
36,-1.5314,0.328504,10.1831,3.66616e-05,14886,-18.5049,6.74233,50.9364,5.40706e-05,14878
37,-4.83979,0.390117,62.6058,3.85711e-05,2092,-33.781,14.0633,81.2153,5.2298e-05,2092
38,-6.47917,0.605106,71.0283,4.06449e-05,54374,-25.8935,12.1517,55.2574,5.75229e-05,54374
39,-1.41068,0.286711,10.4287,4.99991e-05,58062,-11.1187,5.06157,24.6218,4.59466e-05,58062
40,0.157254,0.237283,4.31859,2.803e-05,41904,-10.1667,3.52108,29.6389,2.92896e-05,41904
41,-1.27488,0.116091,22.6143,4.34024e-05,28068,-10.9319,3.80441,31.6754,0.000146272,28066
42,-4.69731,0.475211,48.5358,1.8528e-05,13290,-28.038,11.0902,70.9749,3.81843e-05,13290
43,-9.74693,0.950641,100.987,2.02643e-05,466,-47.5933,20.0923,112.786,3.43899e-05,466
44,-5.05591,0.421161,63.0691,3.39662e-05,60734,-27.8607,12.639,61.4934,4.04113e-05,60734
45,-2.1797,0.360518,15.9523,4.98361e-05,52696,-17.8007,7.72603,41.1421,4.81551e-05,52666
46,0.0252851,0.244011,4.10079,3.51573e-05,28236,-5.99347,2.33509,15.8116,3.54006e-05,28236
47,-2.43107,0.185633,37.2245,2.98359e-05,7356,-25.6088,9.45164,69.4919,5.79337e-05,7356
48,-15.1366,1.26156,182.407,1.98783e-05,552,-61.5529,26.797,141.425,3.66714e-05,552
49,-9.52071,0.910231,100.682,2.69543e-05,71526,-43.8345,20.7481,92.6573,3.14661e-05,71528
