loop, time[s]
0,25.4132
1,37.1525
2,56.3015
3,27.7316
4,26.6196
5,26.3763
6,18.8395
7,17.5603
8,17.2998
9,21.7881
10,25.3936
11,18.6059
12,6.25971
13,13.3551
14,23.7416
15,26.4994
16,24.5103
17,18.8073
18,11.5136
19,8.84053
20,23.4666
21,20.8665
22,17.0398
23,21.9387
24,15.2818
25,15.2315
26,21.3789
27,22.2834
28,24.1185
29,14.7795
30,12.2781
31,19.4372
32,22.8339
33,18.1245
34,20.2552
35,22.7224
36,17.9191
37,11.5059
38,20.2982
39,22.4716
40,20.5617
41,19.0744
42,14.4865
43,10.2533
44,21.296
45,25.034
46,19.0587
47,14.0336
48,10.8631
49,23.0147
