loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,nan,-nan,-nan,-nan,0,nan,-nan,-nan,-nan,0
2,-1.3292,0.323911,8.5418,3.03376e-05,63496,-7.13956,3.29515,15.7727,3.99885e-05,63496
3,-1.31844,0.583986,4.68895,1.25715e-05,62920,-13.8193,4.63813,41.3901,3.2315e-05,62920
4,-1.78737,0.674431,6.21961,1.14732e-05,62760,-16.2073,5.25928,50.1358,4.66463e-05,62760
5,-1.34146,0.621904,4.50154,1.24035e-05,62556,-19.4528,6.44041,58.9111,3.66433e-05,62556
6,-0.456681,0.401035,3.0136,1.77756e-05,62108,-25.3969,8.57983,75.2934,2.1852e-05,62108
7,-0.228911,0.235172,4.47503,2.54193e-05,654,-16.7007,5.41074,51.7327,3.73092e-05,638
8,-3.75475,0.302232,49.9554,3.18257e-05,68964,-22.0165,8.9922,54.0163,5.67369e-05,68966
9,-5.05108,0.611136,43.3838,2.58393e-05,74512,-38.129,15.1998,95.7131,3.71286e-05,74512
10,-1.51887,0.292517,11.3052,5.64726e-05,69590,-13.0395,5.35505,31.9377,7.49161e-05,69590
11,-0.835967,0.23493,7.23126,6.84811e-05,76244,-11.7652,4.64365,30.024,7.46067e-05,76244
12,-0.716831,0.17633,8.58533,7.08239e-05,58336,-13.3966,4.72495,38.1949,0.000100532,58336
13,0.348235,0.25611,4.37807,4.63413e-05,2806,-6.55715,2.33615,18.8328,4.98669e-05,2788
14,-0.667331,0.0957959,15.0876,5.15228e-05,49524,-15.6986,6.0348,41.003,4.92763e-05,49524
15,-1.11752,0.118416,18.9911,3.89889e-05,56046,-15.6599,5.75233,42.8059,6.27604e-05,56046
16,-0.815127,0.283808,5.86463,2.4257e-05,65276,-20.9139,7.61938,57.5362,2.59252e-05,65276
17,-0.728018,0.120538,12.6932,4.27345e-05,43152,-20.3176,6.89349,60.0285,6.02093e-05,43152
18,-1.01395,0.192989,10.5088,3.24993e-05,26730,-17.0255,6.18948,46.9938,4.74248e-05,26520
19,-2.40273,0.207327,32.6686,4.5789e-05,19416,-20.9496,8.29985,52.9993,6.78569e-05,19416
20,-2.84533,0.260048,34.9779,3.38139e-05,49474,-25.573,10.5542,62.0583,3.84487e-05,49456
21,-3.73096,0.629639,23.6962,1.99624e-05,18244,-34.1885,14.5882,80.1922,2.01448e-05,18240
22,-2.24518,0.231508,26.0933,2.54279e-05,33266,-16.5801,6.73332,40.9754,3.63645e-05,33266
23,-1.92247,0.197596,23.7652,4.93351e-05,30830,-14.7338,5.99488,36.3785,6.74574e-05,30802
24,-3.10676,0.294504,36.1691,4.67036e-05,71536,-25.0445,10.3718,60.5709,5.45498e-05,71532
25,-3.63959,0.481076,29.614,6.41605e-05,4136,-55.0414,22.7322,133.315,4.11079e-05,4106
26,-1.97883,0.19671,24.9899,3.18665e-05,48922,-17.0137,7.13695,40.699,3.67685e-05,48922
27,-1.6961,0.247101,15.6889,2.53149e-05,49708,-26.4213,10.079,69.3608,2.50405e-05,49708
28,-2.46322,0.276572,25.5538,4.27271e-05,8890,-26.2549,10.1398,68.0808,5.25447e-05,8890
29,-2.92096,0.278606,34.2132,2.8994e-05,65910,-21.6134,8.89035,52.6569,3.92657e-05,65886
30,-1.17086,0.231881,10.2247,4.53676e-05,48872,-23.4087,8.80712,62.3322,3.90546e-05,48872
31,-1.58036,0.304148,11.4995,2.69169e-05,51976,-19.3835,7.47999,50.3638,3.18667e-05,51958
32,-0.421365,0.182784,6.44229,3.87238e-05,49464,-15.1635,5.48221,42.1237,3.51896e-05,49462
33,-1.77653,0.268176,15.4975,2.75434e-05,13998,-23.2467,8.14921,66.4368,4.7471e-05,13960
34,-1.98597,0.274819,17.9903,2.25347e-05,54528,-21.3502,8.28861,55.1155,2.83188e-05,54522
35,-0.819126,0.25952,6.43869,3.59477e-05,32108,-14.5793,5.59217,38.1882,3.85084e-05,32108
36,-0.405851,0.138439,8.41323,1.95499e-05,46306,-13.7099,4.80331,39.3395,2.83483e-05,46306
37,-0.486731,0.13426,9.2128,2.15768e-05,24278,-10.5386,3.47375,32.2596,6.64415e-05,24268
38,-4.26501,0.332172,57.7722,5.50292e-05,52344,-26.3861,11.2776,61.824,7.5874e-05,52344
39,-3.6761,0.329773,44.0113,8.36139e-05,64168,-31.3083,13.3312,73.6023,8.40312e-05,64170
40,-1.68239,0.220568,17.3662,0.000119827,24160,-15.6279,6.94248,35.3233,0.000100728,23602
41,-1.30361,0.254479,10.6075,4.55869e-05,45810,-7.42282,3.32253,16.8842,5.98919e-05,45810
42,-0.810912,0.216269,7.66444,4.69383e-05,54282,-9.60758,3.65389,25.5359,5.95789e-05,54284
43,-0.0914858,0.202735,4.97382,3.4352e-05,40972,-10.1749,3.37694,30.9534,5.4857e-05,40972
44,-1.17231,0.0994127,23.8833,3.27595e-05,23378,-14.8533,5.07041,43.7083,9.26484e-05,23376
45,-2.35486,0.265336,24.6682,2.14261e-05,33880,-29.7296,11.3292,78.1033,2.94728e-05,33880
46,-3.87771,0.32309,49.6352,3.91105e-05,7124,-29.6439,11.9089,73.8745,5.8232e-05,7124
47,-4.59284,0.410487,53.8243,2.52994e-05,60252,-30.7802,13.4511,70.509,2.89145e-05,60252
48,-1.82344,0.246049,17.5775,5.35871e-05,30598,-15.8795,6.82229,37.1075,5.34878e-05,30580
49,-1.84263,0.232817,18.8787,5.06762e-05,71800,-16.2022,6.84604,38.491,4.86719e-05,71800
