loop, time[s]
0,10.5182
1,61.5264
2,14.5624
3,9.58083
4,9.83721
5,9.97347
6,10.0614
7,36.3563
8,14.7677
9,15.0586
10,12.3728
11,13.6252
12,14.1572
13,21.5525
14,15.3513
15,12.6166
16,12.081
17,11.933
18,13.6945
19,13.1038
20,13.4092
21,8.25178
22,8.59216
23,9.13065
24,13.5697
25,9.66422
26,16.8025
27,12.3148
28,11.3874
29,15.466
30,10.8138
31,13.4438
32,12.7931
33,16.8486
34,14.1194
35,10.2586
36,10.0682
37,8.32304
38,11.4372
39,17.909
40,28.0771
41,12.0464
42,10.7843
43,11.3534
44,9.11394
45,9.45498
46,6.25899
47,14.2556
48,10.7393
49,16.2283
