loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-13.9519,2.22576,87.9048,2.24852e-05,640,-38.735,14.7803,101.581,0.000111479,616
2,-2.51336,0.50686,14.4359,2.6448e-05,58904,-10.63,5.06321,22.5149,3.56262e-05,58904
3,-2.26955,0.615134,9.99923,1.95819e-05,61628,-29.1729,11.6153,73.3567,1.69062e-05,61628
4,-0.618755,0.434178,3.18501,2.31353e-05,78780,-14.4508,5.2146,40.2378,2.63581e-05,78780
5,-0.858174,0.265139,6.54926,2.95014e-05,61282,-8.18036,2.49899,27.1782,0.000174386,61258
6,-1.64447,0.267033,13.8721,4.45446e-05,40826,-13.9287,5.01344,38.8973,0.000110493,40804
7,-0.170733,0.145448,7.07573,3.79523e-05,5598,-21.5885,7.7958,59.912,3.0306e-05,5598
8,-2.39512,0.237898,28.3172,3.94303e-05,58016,-26.1311,10.6315,64.3214,3.94509e-05,57976
9,-1.2595,0.160648,16.0994,8.28655e-05,58746,-17.696,6.95211,45.1875,8.07731e-05,58746
10,-2.83137,0.405875,22.2154,4.32833e-05,48862,-34.5237,13.8962,85.8429,4.06404e-05,48846
11,-0.259228,0.127896,8.34431,4.55547e-05,9130,-6.37759,2.54756,16.3583,5.40669e-05,9130
12,-3.28626,0.256901,45.9302,4.36374e-05,37430,-49.7035,20.5357,120.349,2.90993e-05,37430
13,-4.62154,0.445136,50.2288,3.45617e-05,29122,-43.1436,17.978,103.591,3.34266e-05,29116
14,-1.53213,0.187789,17.8255,4.56608e-05,57216,-13.1068,5.66173,30.5188,4.48944e-05,57216
15,-0.6302,0.20426,6.84007,4.79669e-05,24230,-8.34956,3.44553,20.5238,5.38115e-05,24208
16,-1.21279,0.0897243,27.5383,4.0647e-05,24604,-16.0401,5.8904,43.8485,7.42335e-05,24604
17,-4.67871,0.391669,58.4431,4.50835e-05,63116,-28.4575,12.2984,65.9297,5.83977e-05,63106
18,-0.432893,0.225608,5.26309,5.66252e-05,47764,-7.23975,3.11697,17.1365,4.51731e-05,47764
19,-6.74957,0.581613,80.0476,2.9695e-05,47758,-31.4813,12.2187,81.1926,8.2084e-05,47758
20,-1.71302,0.244806,16.0717,8.68029e-05,50228,-13.4314,5.84809,31.0189,9.21977e-05,50154
21,-0.16985,0.214503,4.79644,3.77108e-05,65668,-7.95263,2.77113,23.1834,5.56057e-05,65536
22,-1.04207,0.129313,16.1306,0.000104386,31292,-11.0051,3.97506,30.7197,0.000232044,31292
23,-2.52686,0.250487,29.4827,7.51775e-05,35298,-15.6535,6.40882,38.3897,0.00012569,35282
24,-1.70978,0.241536,16.2433,6.61542e-05,47926,-13.1983,5.71262,30.6679,7.4359e-05,47928
25,-0.379446,0.129648,8.82373,5.16197e-05,26534,-12.9564,4.86134,34.7367,4.91252e-05,26460
26,-2.22763,0.181176,32.909,4.51802e-05,56948,-31.5733,12.3423,80.8498,4.41798e-05,56896
27,-2.24847,0.237677,25.4784,5.38641e-05,59194,-31.8972,12.681,80.3114,4.56956e-05,59194
28,-0.350896,0.171971,6.53092,6.59601e-05,3518,-8.33077,3.47393,20.2657,5.05721e-05,3518
29,-5.37682,0.474195,63.0758,2.64084e-05,52620,-33.0445,14.3778,76.0154,3.32043e-05,52620
30,-1.6274,0.257559,14.1655,6.32449e-05,76618,-12.6245,5.58363,28.7227,6.15303e-05,76610
31,-0.512148,0.17908,7.04876,3.65791e-05,61768,-9.07535,2.9659,28.1068,9.27978e-05,61748
32,-0.222802,0.344515,3.04672,3.49743e-05,3560,-22.0663,7.6236,64.0016,4.61956e-05,3560
33,-2.00673,0.149551,33.6139,2.69199e-05,50288,-22.3304,8.64167,57.8183,3.87585e-05,50290
34,-1.13714,0.232162,9.87708,3.36044e-05,68384,-17.3478,6.78686,44.4896,3.39828e-05,68384
