loop, time[s]
0,9.28541
1,57.599
2,13.154
3,8.12643
4,8.39174
5,9.25037
6,9.11566
7,45.5516
8,13.6759
9,10.1266
10,9.11355
11,9.34094
12,11.8649
13,26.8505
14,16.821
15,11.4186
16,10.216
17,11.3029
18,13.3589
19,7.36291
20,7.58136
21,19.7234
22,11.5408
23,8.84989
24,10.2518
25,11.3207
26,12.7993
27,13.8043
28,12.1576
29,9.79901
30,14.712
31,9.90357
32,17.5431
33,13.4746
34,8.03997
35,10.5653
36,13.6149
37,18.4018
38,10.602
39,16.0125
40,11.9028
41,14.9881
42,19.4355
43,12.8665
44,12.7101
45,14.3401
46,7.70309
47,9.54562
48,19.2585
49,11.9969
